run_id,condition,repeat,duration_s,frames,gt_velocity_source,theta_e_peak_deg,epsilon_orth_peak,epsilon_det_peak,projection_correction_peak,sigma_r_raw_peak,r_peak_deg,p_peak_m,v_peak_mps,r_final5_median_deg,p_final5_median_m,v_final5_median_mps,e_auc,r_auc,p_auc,v_auc,visual_auc,instability_s,ordered_e_r_downstream
baseline/run_1,baseline,1,83.05000000000001,1681,dataset,1.431301011318132,0.011054887826949635,0.008680240622509832,0.00553804148504829,0.17531987875937421,17.813810607730744,1656.8678425057126,86.80426385016123,14.925030368754062,1446.8729935484412,81.15609451524813,28.542515047007154,1031.389897218799,20904.907441768275,1669.1267173905196,226.39679166506548,18.900000000000002,False
baseline/run_2,baseline,2,83.05000000000001,1681,dataset,1.2858285491107266,0.011016906387837326,0.008644441642072105,0.005518990633721521,0.15989845716072093,16.188188648943637,1549.281380819298,80.57449127725285,12.67369153516237,1354.0078492426628,75.56534598552203,27.32832127911638,903.8373130124328,19533.284042255127,1560.2277774414204,204.54917207096494,20.3,False
baseline/run_3,baseline,3,83.15,1683,dataset,0.8904710481848075,0.008506202602668345,0.0066190516609499666,0.004259679455364105,0.12303699575564506,19.61931052955794,1689.7031005997678,84.96562118472839,15.225837912467139,1483.767073200833,79.74417953248229,31.381460704709703,1107.8265268824252,22159.85984452121,1701.630064702109,227.66369010334253,17.2,False
fixed_e/run_1,fixed_e,1,83.10000000000001,1682,dataset,1.101024381778,0.010068349544380734,0.0022603329235928076,0.005035381207464536,0.0,4.338206895668849,1.580904642432969,0.5873672267546964,1.4611289979016546,1.4659640463215817,0.06661721006573229,39.87116251895122,199.08849379573584,83.44717870536407,13.662082010003768,304.13357208506113,,False
fixed_e/run_2,fixed_e,2,83.05000000000001,1681,dataset,1.2089540135567145,0.010968953002764974,0.008599180998727758,0.00549493840047351,0.0,4.962762056288716,1.666391831627316,0.619574899711613,3.468436627652577,1.4930968475698947,0.07847550051586623,37.00171803926052,244.66631471920664,96.09235873650047,13.996173400429619,303.94640577498706,,False
fixed_e/run_3,fixed_e,3,83.10000000000001,1682,dataset,0.9374154036210255,0.009962691251003864,0.002298739628995497,0.004982311616424159,0.0,5.151964748292397,1.8270740604980755,0.6083220747982222,4.523130122243485,1.5802808894066045,0.06646658729411416,39.17028010564299,298.00571671646173,99.42354860707106,13.462396162366701,297.5388578923759,,False
no_projection/run_1,no_projection,1,44.900000000000006,900,dataset,1.37690248749,0.16152687881239497,0.13653349592692013,0.0,0.14628416920935416,22.84964642824965,26.803680197379155,9.407072859085076,19.631726662397515,9.38816289531846,4.816489728540353,7941.076334936466,601.019716149112,116.44777828247749,39.60193439541358,205.0286256242416,16.6,False
no_projection/run_2,no_projection,2,44.95,900,dataset,0.8673376655325853,0.15687476157963257,0.1326624276593282,0.0,0.113333513271,11.03252399008977,2.1286583577961578,0.5915457678529789,6.570267747755679,1.2571896656704473,0.17377611500341558,7372.109157212999,274.45672231341575,46.90774971311746,9.836339845624657,149.8709274619303,27.200000000000003,False
no_projection/run_3,no_projection,3,44.900000000000006,900,dataset,1.389249370576,0.16171007731399709,0.13668769704082198,0.0,0.1499920152000592,23.417550292026743,27.366771291016427,9.57738794005833,20.612433496866416,9.610018323950257,4.920984427758033,7957.972916694698,620.9691792125866,118.11936164628625,40.4200390918515,206.57856635398892,16.5,False
sigma_zero/run_1,sigma_zero,1,83.10000000000001,1682,dataset,3.7293466968848032,0.01003951780135052,0.0019691858198560234,0.005020898389151047,0.391032585411,4.599769007537509,2.644562967043295,0.5832148697989814,1.195409801490312,2.514405088035039,0.0612653276343227,57.841183019907945,193.98297794060352,132.20465757517883,11.601442676751889,234.08447503622622,,False
sigma_zero/run_2,sigma_zero,2,83.15,1683,dataset,3.9985675796205746,0.008625987725875405,0.00673665773681491,0.0043197141312981595,0.435238693462468,4.566324726268993,1.953658378713831,0.527292983905767,1.7939500336717393,1.9002892595598342,0.04496393226597035,59.75370148386669,197.8872146739028,85.99289230394007,10.776013928463668,223.56648225418266,,False
sigma_zero/run_3,sigma_zero,3,83.05000000000001,1681,dataset,4.12000063412782,0.01105561127218991,0.008680800340374679,0.005538404598663122,0.4571495627750887,4.505368652726873,1.9432080668184846,0.73567489041876,3.211813954088098,1.3228979745224716,0.0490589271119456,56.13907347485454,240.23374871739207,105.74706487761708,11.161107705476432,217.9498020080467,,False
