run_id,repeat,first_v_threshold_s,first_p_threshold_s,r_5deg_event_s,r_growth_onset_s,v_runaway_onset_s,p_runaway_onset_s,visual_updates_off_s,first_v_threshold_r_error_deg,first_v_threshold_tilt_error_deg,first_v_threshold_gravity_projection_error_mps2,first_v_threshold_p_error_m,first_v_threshold_v_error_mps,first_v_threshold_theta_e_raw_deg,first_v_threshold_epsilon_orth,first_v_threshold_sigma_r_raw_max,first_p_threshold_r_error_deg,first_p_threshold_tilt_error_deg,first_p_threshold_gravity_projection_error_mps2,first_p_threshold_p_error_m,first_p_threshold_v_error_mps,first_p_threshold_theta_e_raw_deg,first_p_threshold_epsilon_orth,first_p_threshold_sigma_r_raw_max,r_rise_r_error_deg,r_rise_tilt_error_deg,r_rise_gravity_projection_error_mps2,r_rise_p_error_m,r_rise_v_error_mps,r_rise_theta_e_raw_deg,r_rise_epsilon_orth,r_rise_sigma_r_raw_max,v_runaway_r_error_deg,v_runaway_tilt_error_deg,v_runaway_gravity_projection_error_mps2,v_runaway_p_error_m,v_runaway_v_error_mps,v_runaway_theta_e_raw_deg,v_runaway_epsilon_orth,v_runaway_sigma_r_raw_max,p_runaway_r_error_deg,p_runaway_tilt_error_deg,p_runaway_gravity_projection_error_mps2,p_runaway_p_error_m,p_runaway_v_error_mps,p_runaway_theta_e_raw_deg,p_runaway_epsilon_orth,p_runaway_sigma_r_raw_max
baseline/run_1,1,3.5,4.2,11.8,3.6500000000000004,47.150000000000006,47.5,48.35,0.9939505416317233,0.9818349665600439,0.1681045838747627,0.13925825175228618,0.5061129466312991,0.441947766623,0.000237315619,0.05747018224,3.4629105936744433,3.3397989316323042,0.5717487315544637,0.5181726475001747,0.6104986739912088,0.5573594129028421,0.0003489048398982958,0.05195865298374817,1.609278150200257,1.5857891173134675,0.27150507147224584,0.21567688288295725,0.5220552088102683,0.5283371175671643,0.00042228910750835845,0.06758203133643309,16.964233292701618,14.846915017105179,2.5349351293705005,5.514074110393688,1.6548388430851164,0.313552948796125,1.0322649080098762e-06,0.04338510628943666,17.300179248136182,15.227147827988915,2.599477636595033,6.1398970837478855,2.5826924044519544,0.029217221573,2.6736e-08,0.005200908432
baseline/run_2,2,3.7,4.2,12.05,3.6500000000000004,47.35,47.650000000000006,48.35,1.6929301974874948,1.6701414786075715,0.2859461550458521,0.23728835665274206,0.5031228653415352,0.5918830060517037,0.0003826537423113334,0.06467939154729387,3.321506774820161,3.189473525451729,0.5460209428572078,0.5045097804064852,0.5758413056064926,0.475144343534038,0.00030187861439454153,0.03384009264120949,1.4976883395407274,1.4712471840323045,0.2518953137081125,0.21447316520253795,0.4888906286518912,0.5576781461658894,0.00039451453506599964,0.06544201443611841,15.790934741641784,14.87245510348766,2.5392713061849315,4.336165184121498,1.6012685700528073,0.41279262439457176,2.5494639810792973e-05,0.05634659569754462,15.493795770522727,14.519146144245534,2.4792756725049427,4.892078270057098,2.5007191179264967,0.0740596837028433,8.29978546062236e-08,0.009102885901683783
baseline/run_3,3,3.6500000000000004,4.3,8.8,3.7,45.5,45.95,47.35,1.090093916990607,1.0513586143115314,0.1800077317348812,0.1675181092567056,0.5033576247002292,0.6208764005632698,0.0001216467894810915,0.058614646634139136,3.4979273056974436,3.3354182772510015,0.5709990080508777,0.5027882794448277,0.5442958960722442,0.24800427531513247,0.0012896095881901291,0.03496635978017288,1.4013793304089808,1.347788010977241,0.2307586293148168,0.19163494874641954,0.5035512219382194,0.5759631665079058,0.00038954354464074587,0.06923376067668789,19.546436463385366,14.993026559831257,2.5597401310879575,4.363208211744566,1.530408035328083,0.092395629439,2.04548e-07,0.014367855072,18.55798187037485,14.642020291248347,2.500143716692969,4.959941186983626,2.0239177994142477,0.2989242319208161,0.00010462366254025796,0.049960823622447255
