repeat,condition,common_horizon_s,r_auc_per_s,r_reduction,p_auc_per_s,p_reduction,v_auc_per_s,v_reduction,visual_auc_per_s,visual_reduction
1,baseline,18.900000000000002,4.738126866045301,0.0,0.6330636059818467,0.0,0.17948676402647115,0.0,2.581926715732793,0.0
1,fixed_e,18.900000000000002,1.5998407985911507,0.6623474120002901,0.3202507293383439,0.4941255091711476,0.16055087234123888,0.10550021216294014,3.7810988866205597,-0.4644485699693539
1,sigma_zero,18.900000000000002,1.6247955827545817,0.6570806082888353,0.4888691589071618,0.2277724476848535,0.14962576561835456,0.16636880479784355,2.818942153885151,-0.09179789523386561
2,baseline,20.3,4.762152716909201,0.0,0.6415832122628755,0.0,0.18122193208566065,0.0,2.5731461018692015,0.0
2,fixed_e,20.3,1.7321995623271247,0.6362570322080344,0.5120451755278741,0.2019037192044325,0.18550103079711788,-0.023612477045187763,3.9875396860058876,-0.5496748059153085
2,sigma_zero,20.3,1.871932549695219,0.6069146327356408,0.18432143616231167,0.7127084489754545,0.13664084605526966,0.24600270793558388,2.7744921450079922,-0.07824897427803568
3,baseline,17.2,4.808414733411041,0.0,0.5922129873168532,0.0,0.1932580141916068,0.0,2.8011434762222454,0.0
3,fixed_e,17.2,1.6844494076607526,0.6496871628072272,0.3771936817384762,0.36307765986789253,0.15698743467520654,0.18767956231010208,3.5154078741730643,-0.2549902937903452
3,sigma_zero,17.2,1.5338652903549772,0.6810039534033978,0.6618956606084829,-0.1176648854111455,0.16108851981261432,0.16645878575104178,2.5921578875057993,0.07460724182479006
